Component,Explained Variance Ratio,Cumulative
169,0.001308404816775067,0.9261910041833165
170,0.001290971845600454,0.9274819760289169
171,0.0012806810328157918,0.9287626570617327
172,0.0012458734378638615,0.9300085304995965
173,0.0012394223358453535,0.9312479528354419
174,0.0012180960389081682,0.9324660488743501
175,0.001210155111011885,0.933676203985362
176,0.0012024525406203088,0.9348786565259823
177,0.0011966154912419538,0.9360752720172243
178,0.0011845448935414744,0.9372598169107658
179,0.001175005219701581,0.9384348221304674
180,0.0011678220774068307,0.9396026442078742
181,0.0011512936254133945,0.9407539378332876
182,0.001138211868461162,0.9418921497017488
183,0.0011141148449040298,0.9430062645466528
184,0.0011109095023110456,0.9441171740489639
185,0.0011032590313331807,0.945220433080297
186,0.0010851150647736504,0.9463055481450706
187,0.0010711353536598403,0.9473766834987305
188,0.0010636727012313725,0.9484403561999619
189,0.0010473143121404872,0.9494876705121024
190,0.0010345837467911978,0.9505222542588936
191,0.001031020245693376,0.9515532745045869
192,0.001008286978078177,0.9525615614826651
193,0.0010015172493305093,0.9535630787319956
194,0.0009951495937511766,0.9545582283257468
195,0.0009859570551678087,0.9555441853809146
196,0.0009752457023568334,0.9565194310832714
197,0.000956454530139432,0.9574758856134109
198,0.0009540544733156038,0.9584299400867266
199,0.0009435085628203061,0.9593734486495469
200,0.0009380273457216411,0.9603114759952686
201,0.0009230417031082851,0.9612345176983769
202,0.0009140423882536212,0.9621485600866305
203,0.0008976501830894215,0.9630462102697199
204,0.0008884617319890614,0.963934672001709
205,0.0008768321602930806,0.9648115041620021
206,0.0008706454917920833,0.9656821496537942
207,0.0008523168341706988,0.9665344664879649
208,0.0008508595712674094,0.9673853260592323
209,0.0008329055512661229,0.9682182316104985
210,0.0008275835347028932,0.9690458151452014
211,0.0008117657496972889,0.9698575808948987
212,0.000804936464443257,0.970662517359342
213,0.0007952408556136494,0.9714577582149556
214,0.0007862929305614623,0.972244051145517
215,0.0007685060519825454,0.9730125571974996
216,0.0007595366989970426,0.9737720938964967
217,0.0007549676700510557,0.9745270615665477
218,0.0007451225469802944,0.975272184113528
219,0.0007341252897172407,0.9760063094032453
220,0.0007189943003690256,0.9767253037036143
221,0.0007151484735828445,0.9774404521771972
222,0.0007020946066459339,0.9781425467838432
223,0.0006885382452776868,0.9788310850291209
224,0.0006799048256361887,0.979510989854757
225,0.0006756867699094217,0.9801866766246664
226,0.0006555745965578137,0.9808422512212243
227,0.0006463704649293476,0.9814886216861536
228,0.0006420007355860576,0.9821306224217397
229,0.0006276786369017077,0.9827583010586414
230,0.0006262065619073561,0.9833845076205487
231,0.0006166458877371074,0.9840011535082859
232,0.0006073265855293671,0.9846084800938153
233,0.0005947903631956616,0.985203270457011
234,0.0005905894790339591,0.985793859936045
235,0.0005872211151913141,0.9863810810512362
236,0.000567720409004023,0.9869488014602402
237,0.0005528319902153281,0.9875016334504555
238,0.0005477562402538497,0.9880493896907093
239,0.0005287101750784466,0.9885780998657878
240,0.0005142734120698992,0.9890923732778577
241,0.0005023752530020871,0.9895947485308598
242,0.0004937533674161027,0.9900885018982759
243,0.00047706132843685625,0.9905655632267127
244,0.0004692274755030842,0.9910347907022158
245,0.00046130885806446205,0.9914960995602803
246,0.0004540615412130497,0.9919501611014934
247,0.0004395507028879994,0.9923897118043814
248,0.0004145650209296302,0.992804276825311
249,0.0004049655268879718,0.993209242352199
250,0.00040197203923603137,0.993611214391435
251,0.0003825044070900491,0.993993718798525
252,0.0003722104889621328,0.9943659292874872
253,0.0003544423063919864,0.9947203715938793
254,0.0003476457154400529,0.9950680173093194
255,0.0003260962295061654,0.9953941135388256
256,0.00032530427381432717,0.9957194178126398
257,0.00030814890636808915,0.9960275667190079
258,0.00030508176044175667,0.9963326484794497
259,0.0002878983728656982,0.9966205468523154
260,0.0002727799184208807,0.9968933267707363
261,0.0002687555579612579,0.9971620823286975
262,0.0002634992639441657,0.9974255815926417
263,0.0002573054354180994,0.9976828870280599
264,0.0002469662365169297,0.9979298532645767
265,0.0002330790235739444,0.9981629322881507
266,0.00022852441834726365,0.998391456706498
267,0.00021415981219346337,0.9986056165186914
268,0.0001995806097019529,0.9988051971283933
269,0.00018138766790868106,0.998986584796302
270,0.00017141850374867077,0.9991580033000507
271,0.0001392381810573831,0.9992972414811081
272,0.00013036207353321405,0.9994276035546413
273,0.00010710164870974902,0.9995347052033511
274,9.8288953576698e-05,0.9996329941569277
275,7.245969972093102e-05,0.9997054538566487
276,6.278136373593644e-05,0.9997682352203846
277,5.678474315102541e-05,0.9998250199635357
278,5.663879932970937e-05,0.9998816587628654
279,4.011160921602448e-05,0.9999217703720814
280,3.2231767052354166e-05,0.9999540021391338
281,2.9212932275215936e-05,0.999983215071409
282,1.6443801531115563e-05,0.9999996588729401
